,Name,Party
355,KEE CHIN WAH  PATRICK,National Solidarity Party
356,KENG BAN EE BARNEY,Labour Front
357,KER SIN TZE,People's Action Party
358,KHALAFF ALBASWARYSHEIKH MOHSIN,Independent
359,KHAW BOON WAN,People's Action Party
360,KHEW PEE GING,Labour Front
361,KHO JIAK HIONG,Workers' Party
362,KHOO SIAW HUA,Liberal Socialist Party
363,KHOR LEAN SUAN  AMY,People's Action Party
364,KHUNG WAI YEEN GEROUS,Singapore Democratic Party
365,KOH CHIAT LIM,Singapore Alliance
366,KOH CHIT KIANG,Barisan Sosialis
367,KOH CHOON HONG,Singapore People's Alliance
368,KOH CHOONG YONG,Workers' Party
369,KOH LAM SON,People's Action Party
370,KOH LIP LIN,People's Action Party
371,KOH POH KOON,People's Action Party
372,KOH TEE KIN,Independent
373,KOH TIONG YEE LUKE,Workers' Party
374,KOO TSAI KEE,People's Action Party
375,KOO YOUNG,Barisan Sosialis
376,KOW KEE SENG,Independent
377,KRISHANAN PAKIRISAMY,Independent
378,KRISHNAN  P. V.,Labour Front
379,KULASINGHA  HOLLUPATHERAGE JAMES CALDERA,Independent
380,KUM TENG HOCK,National Solidarity Party
381,KUNJURAMAN  PAUL C.,United National Front
382,KWAN YUE KENG,Singapore Democratic Party
383,KWEK GUAN KWEE,Independent
384,KWEK HIAN CHUAN HENRY,People's Action Party
385,KWEK SAM HOCK,Singapore People's Alliance
386,LAI THA CHAI,People's Action Party
387,LAL BEHARI SINGH,Singapore Alliance
388,LAM CHIT LEE,Barisan Sosialis
389,LAM CHOCK CHUAN,Liberal Socialist Party
390,LAM HOCK CHYE,Labour Front
391,LAM JOON CHONG,Democratic Party
392,LAM PIN MIN,People's Action Party
393,LAM THIAN,Democratic Party
394,LAU LIAT MENG,Independent
395,LAU PING SUM PEARCE,People's Action Party
396,LAU POR TUCK  PETER,Barisan Sosialis
397,LAU SAI SENG,Liberal Socialist Party
398,LAU TEIK SOON,People's Action Party
399,LAU TOK KEONG,United People's Party
400,LAW KIM HWEE,Singapore People's Party
401,LAYCOCK  AMY,Progressive Party
402,LAYCOCK  CHRISTOPHER JOHN,Progressive Party
403,LAZAROUS  ANTHONY REBEIRO,Labour Front
404,LEE AH SEONG,Singapore Alliance
405,LEE BAH CHEE,Liberal Socialist Party
406,LEE BEE WAH,People's Action Party
407,LEE BOON YANG,People's Action Party
408,LEE CHEE SENG,Liberal Socialist Party
409,LEE CHIAW MENG,People's Action Party
